artist,album,key,local,spotify_album_uri,album_art
SZA,SOS,108,0,07w0rG5TETcyihsEIZR3qG,https://a5.mzstatic.com/us/r1000/0/Music122/v4/bd/3b/a9/bd3ba9fb-9609-144f-bcfe-ead67b5f6ab3/196589564931.jpg
Antony and the Johnsons,I Am A Bird Now,109,0,4yYa6DGzkYsAIpoE8ael1V,https://a5.mzstatic.com/us/r1000/0/Features124/v4/b6/a0/f4/b6a0f477-c519-12f6-fc66-cb0ddcbe5aa8/dj.taagaquh.jpg
Various Artists,"Armada Deep House Selection, Vol. 8 (The finest Deep House Tunes)",110,0,42wZa2ywYMFubiSEPwTvfn,https://a5.mzstatic.com/us/r1000/0/Music5/v4/24/06/55/240655b9-9ad8-7d5c-b4c9-a2b420c1ceb4/8718522076152.png
Sans Souci,Urban Safari,111,0,4zXybpTIwKgctTlPNdFHFF,https://a5.mzstatic.com/us/r1000/0/Music115/v4/c9/5e/1b/c95e1b8b-e570-1d8e-fe47-83414cb24399/cover.jpg
Various Artists,Deeper Sessions,112,0,7Guu2FIyoFdUaCJDpZvg2P,https://a5.mzstatic.com/us/r1000/0/Music5/v4/c5/f0/4f/c5f04f78-c951-fe27-65d3-a91adc03c83b/8718522051548.jpg
Frank Ocean,Blonde,113,0,3mH6qwIy9crq0I9YQbOuDf,https://a5.mzstatic.com/us/r1000/0/Music115/v4/bb/45/68/bb4568f3-68cd-619d-fbcb-4e179916545d/BlondCover-Final.jpg
Royksopp,Profound Mysteries Remixes,114,0,7udMmf4rMWzz3BeIFphddX,https://a5.mzstatic.com/us/r1000/0/Music112/v4/83/3b/6e/833b6ea5-b8f0-9668-1e2c-f526d65c8973/5060236637864_cover.jpg
Nate Traveller,Born Erased,115,0,3hzt5mEdhd9YF81TGH1pOx,https://a5.mzstatic.com/us/r1000/0/Music112/v4/80/e9/14/80e91469-9377-8e00-54ad-400d7e8c4d77/193436296977_bornerased.jpg
Saint Levant,From Gaza With Love,116,0,5bah1OVDvcvn92BMkgOO6o,https://a5.mzstatic.com/us/r1000/0/Music116/v4/74/b7/99/74b7995b-ab7b-09d0-98bc-d61ad6aa31bf/58275.jpg
Kim Petras,Slut Pop,117,0,4rs52z8T5zPbsa5HM75tua,https://a5.mzstatic.com/us/r1000/0/Music126/v4/8f/a7/65/8fa765cb-6e5f-e6f5-5ddb-95b48bf6de9e/22UMGIM13152.rgb.jpg
Wata Igarashi,Agartha,118,0,5kuzeufUirI4eXJ3VEYZOO,https://a5.mzstatic.com/us/r1000/0/Music126/v4/de/3d/1a/de3d1ae7-127a-4126-0aa8-fae81e2689dc/4250101453816_cover.jpg
Leikeli47,Wash & Set,119,0,1VAZdFNZ1t5BYugJ3NfaZh,https://a5.mzstatic.com/us/r1000/0/Music115/v4/96/63/e7/9663e7c2-7053-b08c-33cf-9f923e49e5a2/886446652986.jpg
"Mark Nolan, David Redwitz, Cyril Sorongon & Roman Raithel",Industrial Techno,120,0,5K466KTf6sUQJEsw4Zj16r,https://a5.mzstatic.com/us/r1000/0/Music122/v4/db/15/dc/db15dc2a-85ed-3776-cdfd-594cb00f6ce9/cover.jpg
Ethel Cain,Preacher's Daughter,121,0,3WmujGwOS0ANHkJRnMH6n8,https://a5.mzstatic.com/us/r1000/0/Music122/v4/a7/ed/58/a7ed5868-e006-c8cb-5283-e138ea399701/5056167172390_1.jpg
Mandoza,Sgantsontso,122,0,61BDLPbINyYjPVkBzHdSeB,https://a5.mzstatic.com/us/r1000/0/Music60/v4/da/27/61/da276136-1f25-a7ad-5fee-f93443d2231e/859713515741_cover.jpg
Opus III,Mind Fruit,123,0,5qPIkrDnqxksLOFpFYqvEz,https://a5.mzstatic.com/us/r1000/0/Features124/v4/0c/f8/7f/0cf87f6a-b749-5c0f-bb9e-75f5cd6ef292/dj.tuughtym.jpg
November Ultra,Bedroom Walls,124,0,0kO4dLIKEg2hYQNjhmJOfx,https://a5.mzstatic.com/us/r1000/0/Music123/v4/ae/a2/9c/aea29cb6-359a-1c76-4212-07ed2377d06f/21UM1IM58197.rgb.jpg
Flo Milli,"Ho, Why is you here? ",125,0,49FIsErcdC5rfTFhRpPZ7P,https://a5.mzstatic.com/us/r1000/0/Music125/v4/f7/5a/e6/f75ae600-a1c4-3150-3323-7e329eebca3a/886448446026.jpg
Dreamer Isioma,Princess Forever,126,0,24nQZEr8mncYgewoIVbCHR,https://a5.mzstatic.com/us/r1000/0/Music116/v4/93/6c/2c/936c2c36-964b-ce82-fe45-6e8c1e8fbd72/197188383244.jpg
Various Artists,Barbie The Album,127,0,0BaIaHcyBXuOWeM4Aas4EW,https://a5.mzstatic.com/us/r1000/0/Music116/v4/c0/54/97/c05497aa-c19f-bf4f-de29-71edf30fbefb/075679688767.jpg
"Flmm, RVDE, and I Hate Models",VA/01 DGTL,128,0,2VwYcshlZdCSE7xeliCCn0,https://a5.mzstatic.com/us/r1000/0/Music122/v4/4a/ee/36/4aee3642-0ebf-bbe5-f35c-2f69c7843718/8790001374270.png
